key,language,spam-type,word
spam-01,ENGLISH,STRONG,sex
spam-02,ENGLISH,STRONG,hardcore
spam-03,ENGLISH,STRONG,viagra
spam-04,ENGLISH,STRONG,cialis
spam-05,SPANISH,STRONG,sexo
spam-06,SPANISH,STRONG,hardcore
spam-07,SPANISH,STRONG,viagra
spam-08,SPANISH,STRONG,cialis
spam-09,ENGLISH,WEAK,sexy
spam-10,ENGLISH,WEAK,nigeria
spam-11,ENGLISH,WEAK,you've won
spam-12,ENGLISH,WEAK,one million
spam-13,SPANISH,WEAK,sexy
spam-14,SPANISH,WEAK,nigeria
spam-15,SPANISH,WEAK,has ganado
spam-16,SPANISH,WEAK,un millón
